generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9833265,0.6595219216048718,0.016673494,33.0,162.33333333333334,-0.7040804772377014,0.483455244705081,0.72,0.12
1,0.98473316,0.6665905701816082,0.015266843,33.666666666666664,163.66666666666666,-0.7203266797065735,0.4919238920261462,0.724,0.12
2,0.98446715,0.6636474727044502,0.015532874,34.0,158.66666666666666,-0.7185998619397481,0.4888474622766177,0.72,0.12
3,0.98605686,0.6721517388323943,0.013943048,32.0,126.0,-0.7104098864793778,0.4991850630392631,0.724,0.12
4,0.9862119,0.6827223819941283,0.013788076,32.333333333333336,110.66666666666667,-0.7344092599153519,0.49472237229347227,0.734,0.12
