generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9603799,0.82170945,0.03962014,132.66666666666666,0.0,-2.1019047338962555,0.4217093656460444,1.0,0.12
1,0.9778824,0.9004707,0.02211761,78.0,0.0,-1.6547433319091798,0.5004707195957502,1.0,0.12
2,0.9907236,0.9582564,0.009276342,36.0,0.0,-1.3075020217895508,0.558256429652373,1.0,0.12
3,0.9955892,0.9801512,0.0044108387,16.666666666666668,0.0,-1.1417440566221873,0.5801511909166972,1.0,0.12
4,0.9977493,0.9898721,0.002250643,8.0,0.0,-1.0672809000809986,0.5898720715443293,1.0,0.12
