generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9862127,0.6723221884042024,0.013787367,32.4,127.2,-0.7141686490774155,0.49566217893064024,0.722,0.12
1,0.98797363,0.6681815111249685,0.012026291,29.4,93.8,-0.6701201302528381,0.4986815041780472,0.7116,0.12
2,0.99236053,0.6742901098787785,0.0076394663,22.0,42.6,-0.5939043170690537,0.5073901048600674,0.7028,0.12
3,0.9951839,0.6387463918834925,0.004816064,14.2,13.8,-0.43550434441566466,0.42067637715637685,0.6576,0.12
4,0.99850625,0.49604167404174804,0.0014936798,2.8,6.2,-0.02497711236476898,0.3710416736096144,0.5,0.12
5,0.9984041,0.5949825193881989,0.0015958492,4.2,6.2,-0.23722188885211945,0.4793525213718414,0.6,0.12
6,0.9984377,0.9929699897766113,0.0015622133,5.0,0.2,-1.0411712607622146,0.7429700398176908,1.0,0.12
7,0.99937737,0.9971979260444641,0.0006226658,2.6,0.2,-1.0224817236423493,0.747198003873229,1.0,0.12
8,0.99967873,0.9985545873641968,0.00032120722,1.0,0.0,-1.0081851798772812,0.7485545675039291,1.0,0.12
9,0.99991035,0.9995964765548706,8.9681176e-05,0.2,0.0,-1.0014933013916016,0.7495964345932007,1.0,0.12
