Experiment,Seed,raw_mitigation_action_mean,final_mitigation_action_mean,temporal_repair_count,instantaneous_repair_count,collateral_damage,rolling_sla_violations,cumulative_sla_violations,attack_leakage,mitigation_efficiency,service_quality
Static_NoShield,1,1.0,1.0,0.0,0.0,0.002250643,8.0,8.0,0.9898721,0.010127899999999967,0.9977493
Static_NoShield,2,1.0,1.0,0.0,0.0,0.0011683331,3.6666666666666665,3.6666666666666665,0.9947425,0.005257500000000026,0.9988317
Adaptive_Shield_NoHoF,1,0.7204,0.7204,136.66666666666666,136.66666666666666,0.014597814,32.666666666666664,32.666666666666664,0.6598934674958388,0.34010653250416123,0.98540217
Adaptive_Shield_NoHoF,2,0.7313333333333333,0.7313333333333333,81.0,81.0,0.011144841,29.666666666666668,29.666666666666668,0.7149721527248621,0.28502784727513786,0.9888551
Adaptive_NoShield,1,1.0,1.0,0.0,0.0,0.002250643,8.0,8.0,0.9898721,0.010127899999999967,0.9977493
Adaptive_NoShield,2,1.0,1.0,0.0,0.0,0.0011683331,3.6666666666666665,3.6666666666666665,0.9947425,0.005257500000000026,0.9988317
Adaptive_Shield_HoF_pareto_0.05,1,0.7194666666666667,0.7194666666666667,122.66666666666669,122.66666666666669,0.013011159,31.0,31.0,0.6732066900332768,0.3267933099667232,0.9869888
Adaptive_Shield_HoF_pareto_0.05,2,0.7243999999999999,0.7243999999999999,110.66666666666669,110.66666666666669,0.013788076,32.333333333333336,32.333333333333336,0.6827223819941283,0.31727761800587173,0.9862119
