generation,average_attacker_reward,average_attack_leakage,average_sla_violations,attack_type_distribution,attacker_id,archive_reason,diversity_score_to_archive
4,0.49580667992929617,0.6732066900332768,31.0,"[0.546, 0.156, 0.23533333333333334, 0.06266666666666666, 0]",841a8ea8,pareto_nondominated,0.0
3,0.491852115308245,0.6718187927951416,32.666666666666664,"[0.5506666666666666, 0.156, 0.23266666666666666, 0.06066666666666667, 0]",a58a176e,pareto_nondominated,0.0
2,0.4900227732757727,0.6625394498258829,32.666666666666664,"[0.54, 0.168, 0.23133333333333334, 0.06066666666666667, 0]",ac90d9e6,pareto_nondominated,0.0
0,0.48792093324661256,0.6617042778680722,34.666666666666664,"[0.532, 0.16066666666666668, 0.246, 0.06133333333333333, 0]",e171fece,pareto_nondominated,1.0
