generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.98377264,0.6612680350512267,0.016227435,34.4,175.6,-0.720099000287056,0.48649802374839785,0.7196,0.12
1,0.9866955,0.6718163663297891,0.013304489,32.0,120.2,-0.7076468582630158,0.4971663573771715,0.7212,0.12
2,0.9898215,0.6921688764482736,0.010178564,26.6,74.4,-0.6839385811328887,0.5108188681691885,0.728,0.12
3,0.9918325,0.6654353119701147,0.008167492,21.8,49.0,-0.5758704283237457,0.48391530409455297,0.6944,0.12
4,0.9919137,0.5860528189003468,0.0080863265,19.6,52.2,-0.3947498472452164,0.4379528141438961,0.6124,0.12
5,0.9971128,0.2836151098847389,0.0028872513,6.4,19.2,0.35933147072792054,0.2100651080965996,0.2908,0.12
6,0.99911505,0.09899390599727631,0.00088500546,1.0,7.2,0.7891632024765015,0.07399390594959258,0.1,0.12
7,0.9987746,0.2495197007238865,0.0012254015,2.8,6.0,0.46895356175899505,0.18655970048308373,0.2528,0.12
8,0.9994224,0.49843168511390684,0.00057768176,0.8,2.6,-0.006758499526977539,0.3734316848516464,0.5,0.12
9,0.99947166,0.4983217767000198,0.0005284051,1.4,1.2,-0.012386503791809082,0.37332177661657334,0.5,0.12
