generation,service_quality,attack_leakage,collateral_damage,sla_violations,shield_repairs,defender_reward,attacker_reward,attack_success_rate,control_latency_ms
0,0.9592286,0.8165285,0.040771443,139.33333333333334,0.0,-2.161991396903992,0.4165284837683042,1.0,0.12
1,0.98015666,0.9107049,0.019843366,71.0,0.0,-1.5975631663799286,0.5107048280040423,1.0,0.12
2,0.9908008,0.9586035,0.009199235,36.0,0.0,-1.3079800916910171,0.5586034117539723,1.0,0.12
3,0.9967622,0.9854297,0.0032378598,13.0,0.0,-1.1116907177766164,0.5854295956293741,1.0,0.12
4,0.9988317,0.9947425,0.0011683331,3.6666666666666665,0.0,-1.0300655856529872,0.5947424657940864,1.0,0.12
